Date,Close
3/3/2015 16:00:00,64.49
3/4/2015 16:00:00,64.84
3/5/2015 16:00:00,65.71
3/6/2015 16:00:00,65.85
3/9/2015 16:00:00,67.3
3/10/2015 16:00:00,66.28
3/11/2015 16:00:00,67.58
3/12/2015 16:00:00,68.7
3/13/2015 16:00:00,67.79
3/16/2015 16:00:00,71.02
3/17/2015 16:00:00,70.87
3/18/2015 16:00:00,72.44
3/19/2015 16:00:00,71.69
3/20/2015 16:00:00,71.75
3/23/2015 16:00:00,72.3
3/24/2015 16:00:00,71.34
3/25/2015 16:00:00,70.38
3/26/2015 16:00:00,70.25
3/27/2015 16:00:00,71.55
3/30/2015 16:00:00,71.65
3/31/2015 16:00:00,71.78
4/1/2015 16:00:00,71.39
4/2/2015 16:00:00,72.52
4/6/2015 16:00:00,73.89
4/7/2015 16:00:00,72.41
4/8/2015 16:00:00,72.94
4/9/2015 16:00:00,73.84
4/10/2015 16:00:00,74.82
4/13/2015 16:00:00,74.78
4/14/2015 16:00:00,73.79
4/15/2015 16:00:00,73.03
4/16/2015 16:00:00,72.25
4/17/2015 16:00:00,71.88
4/20/2015 16:00:00,72.92
4/21/2015 16:00:00,73.11
4/22/2015 16:00:00,73.28
4/23/2015 16:00:00,73.38
4/24/2015 16:00:00,65.7
4/27/2015 16:00:00,64.55
4/28/2015 16:00:00,64.68
4/29/2015 16:00:00,64.09
4/30/2015 16:00:00,63.94
5/1/2015 16:00:00,64.78
5/4/2015 16:00:00,65.65
5/5/2015 16:00:00,64.61
5/6/2015 16:00:00,64.83
5/7/2015 16:00:00,65.17
5/8/2015 16:00:00,65.62
5/11/2015 16:00:00,65.6
5/12/2015 16:00:00,65.37
5/13/2015 16:00:00,55.48
5/14/2015 16:00:00,56.46
5/15/2015 16:00:00,56.2
5/18/2015 16:00:00,56.81
5/19/2015 16:00:00,56.83
5/20/2015 16:00:00,57.25
5/21/2015 16:00:00,57.32
5/22/2015 16:00:00,57.08
5/26/2015 16:00:00,57.42
5/27/2015 16:00:00,58.1
5/28/2015 16:00:00,58.65
5/29/2015 16:00:00,58.82
6/1/2015 16:00:00,59.34
6/2/2015 16:00:00,59.68
6/3/2015 16:00:00,59.59
6/4/2015 16:00:00,59.59
6/5/2015 16:00:00,59.66
6/8/2015 16:00:00,58.93
6/9/2015 16:00:00,58.7
6/10/2015 16:00:00,58.8
6/11/2015 16:00:00,59.1
6/12/2015 16:00:00,58.56
6/15/2015 16:00:00,58.55
6/16/2015 16:00:00,57.76
6/17/2015 16:00:00,57.15
6/18/2015 16:00:00,57.2
6/19/2015 16:00:00,57.56
6/22/2015 16:00:00,58.01
6/23/2015 16:00:00,56.76
6/24/2015 16:00:00,56.3
6/25/2015 16:00:00,56.19
6/26/2015 16:00:00,55.89
6/29/2015 16:00:00,55.44
6/30/2015 16:00:00,56.37
7/1/2015 16:00:00,55.3
7/2/2015 16:00:00,55.31
7/6/2015 16:00:00,55.38
7/7/2015 16:00:00,56.63
7/8/2015 16:00:00,56.01
7/9/2015 16:00:00,56.77
7/10/2015 16:00:00,57.05
7/13/2015 16:00:00,57.4
7/14/2015 16:00:00,57.58
7/15/2015 16:00:00,57.29
7/16/2015 16:00:00,57.79
7/17/2015 16:00:00,57.34
7/20/2015 16:00:00,57.12
7/21/2015 16:00:00,56.76
7/22/2015 16:00:00,56.55
7/23/2015 16:00:00,56.27
7/24/2015 16:00:00,55.92
7/27/2015 16:00:00,55.17
7/28/2015 16:00:00,56.7
7/29/2015 16:00:00,55.92
7/30/2015 16:00:00,56.12
7/31/2015 16:00:00,57.95
8/3/2015 16:00:00,55.4
8/4/2015 16:00:00,55.9
8/5/2015 16:00:00,55.55
8/6/2015 16:00:00,54.83
8/7/2015 16:00:00,54.88
8/10/2015 16:00:00,55.44
8/11/2015 16:00:00,55.16
8/12/2015 16:00:00,55.18
8/13/2015 16:00:00,55.3
8/14/2015 16:00:00,55.85
8/17/2015 16:00:00,55.3
8/18/2015 16:00:00,54.89
8/19/2015 16:00:00,54.46
8/20/2015 16:00:00,53.93
8/21/2015 16:00:00,52.5
